"Overall Stats:"
"Hours Volunteered","Average age","Number of groups","Total number of users","Number of anonymous users"
11256,50.4,117,552,0

"Breakdown by country:"
"Country name","Total hours"
GB,6702
CA,1382
SE,1028
IT,722
BE,636

"Breakdown by city:"
"Town/city name","Total hours"
London,3806
Malmö,776
N/A,768
Montréal,569
Leeds,440

Results:
#,Hours,"Event date","Restart group",Location
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1608,3.00,25/04/2020,"Harborough Fixers","Bowden Lane, Market Harborough, UK"
1608,3.00,25/04/2020,"Harborough Fixers","Bowden Lane, Market Harborough, UK"
1636,3.00,25/04/2020,"Gent Repair Cafe","Rerum-Novarumplein, 9000 Gent, Belgium"
1482,3.00,25/04/2020,"Repair Café Genk","Halmstraat 9, Genk, België"
1635,2.50,22/04/2020,"Gent Repair Cafe","Hoveniersstraat 40, Ledeberg 9050 Ghent, Belgium"
